Вершина,Зависимое,Лемма вершины,Лемма зависимого,Форма вершины,Форма зависимого,Отношение,Гиперонимы вершины,Гиперонимы зависимого,Ярлык
некорректность,высказываний,некорректность,высказывание,Ncfsnn,Ncpgn,PAR,['некорректность'],['высказывание'],
его,популярности,он,популярность,P-----a,Ncfsgn,PAR,['он'],['популярность'],
состав,правительства,состав,правительство,Ncmsan,Ncnsgn,PAR,['состав'],"['государственная организация', 'государственный орган', 'группа людей', 'орган (организация, учреждение)', 'орган власти', 'орган государственной власти', 'орган исполнительной власти', 'организация, учреждение', 'постоянная сущность', 'правительство', 'руководство, начальство', 'руководящий орган', 'совокупность людей', 'совокупность, целое', 'субъект деятельности']",
особенности,охоты,особенность,охота,Ncfpnn,Ncfsgn,PAR,['особенность'],"['действие, целенаправленное действие', 'захватить, завладеть', 'ловля добычи', 'овладеть (стать обладателем)', 'отнять, лишить', 'охота', 'получить в распоряжение', 'происходящая сущность']",
безопасности,работ,безопасность,работа,Ncfsgn,Ncfpgn,PAR,"['безопасность', 'обстоятельства, обстановка, условия', 'постоянная сущность']",['работа'],
состояние,его,состояние,он,Ncnsan,P-3msan,PAR,['состояние'],['он'],
тяжесть,течения,тяжесть,течение,Ncnsan,Ncnsgn,PAR,['тяжесть'],['течение'],
течения,заболевания,течение,заболевание,Ncnsgn,Ncnsgn,PAR,['течение'],['заболевание'],
здоровье,человека,здоровье,человек,Ncnsan,Ncmsgy,PAR,"['здоровье', 'обстоятельства, обстановка, условия', 'порядок (состояние)', 'постоянная сущность', 'состояние организма', 'состояние, внутренние обстоятельства']","['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
благосклонностью,вора,благосклонность,вор,Ncfsin,Ncmsgy,PAR,['благосклонность'],"['биологическая сущность', 'вор', 'живой организм', 'нарушитель правил, обычаев', 'плохой человек', 'постоянная сущность', 'похититель', 'правонарушитель', 'преступник', 'субъект деятельности', 'человек']",
невыгодность,условия,невыгодность,условие,Ncfsnn,Ncnsgn,PAR,['невыгодность'],['условие'],
вице-президент,центра,вице-президент,центр,Ncfsnn,Ncnsgn,PAR,"['административная должность', 'вице-президент', 'государственный служащий', 'должностное лицо', 'должность', 'живой организм', 'заместитель должностного лица', 'работник', 'роль, положение, место', 'служащий (работник)', 'субъект деятельности', 'человек']",['центр'],
пользе,образования,польза,образование,Ncfsgn,Ncmsgn,PAR,['польза'],['образование'],
наступления,кризиса,наступление,кризис,Ncnsgn,Ncmsgn,PAR,['наступление'],['кризис'],
благах,роста,благо,рост,Ncfsnn,Ncmpgy,PAR,['благо'],['рост'],
характеристику,развития,характеристика,развитие,Ncfsdn,Ncnsgn,PAR,['характеристика'],"['измениться, изменение', 'происходящая сущность', 'процесс, смена состояний', 'развитие']",
особенностей,подростка,особенность,подросток,Ncfsgn,Ncmsgy,PAR,['особенность'],"['биологическая сущность', 'группа людей', 'живой организм', 'молодой человек', 'несовершеннолетние дети', 'подросток', 'постоянная сущность', 'совокупность людей', 'социальная общность', 'социально-демографическая общность', 'социальные институты', 'социальные отношения', 'субъект деятельности', 'физическая сущность', 'человек', 'человек по возрасту']",
состояние,мэра,состояние,мэр,Ncnsnn,Ncmsgy,PAR,['состояние'],['мэр'],
образа,полковника,образ,полковник,Ncmsgn,Npmsgy,PAR,['образ'],"['вариант, разновидность', 'военнослужащий', 'воин (человек)', 'воинское звание', 'звание', 'знак, обозначение', 'изображение (результат)', 'название, наименование', 'офицер', 'полковник', 'старший офицерский состав', 'тип, вид, класс', 'человек по сфере деятельности']",
здоровья,человека,здоровье,человек,Ncnsgn,Ncmsgy,PAR,"['здоровье', 'обстоятельства, обстановка, условия', 'порядок (состояние)', 'постоянная сущность', 'состояние организма', 'состояние, внутренние обстоятельства']","['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
размера,выплаты,размер,выплата,Ncmsgn,Ncfsgn,PAR,['размер'],['выплата'],
объектов,назначения,объект,назначение,Ncmpgn,Ncnsgn,PAR,['объект'],['назначение'],
качествами,руководителя,качество,руководитель,Ncnpin,Ncmsgy,PAR,['качество'],"['биологическая сущность', 'живой организм', 'лидер', 'постоянная сущность', 'руководитель', 'субъект деятельности', 'физическая сущность', 'человек']",
характеры,принца,характер,принц,Ncmpan,Ncmsgy,PAR,['характер'],"['биологическая сущность', 'владелец собственности', 'дворянин', 'дворянский титул', 'живой организм', 'звание', 'знак, обозначение', 'изображение (результат)', 'название, наименование', 'наследник', 'обладатель (тот, кто обладает чем-либо)', 'постоянная сущность', 'правовой статус', 'правообладатель', 'претендент', 'претендент на престол', 'принц', 'родственник', 'субъект деятельности', 'физическая сущность', 'формальный статус', 'человек', 'человек по роли']",
мастерство,актера,мастерство,актёр,Ncnsnn,Ncmsgy,PAR,['мастерство'],['актёр'],
условиям,конкурса,условие,конкурс,Ncnpdn,Ncmsgn,PAR,['условие'],"['бороться с соперником', 'влиять, воздействовать', 'действие, целенаправленное действие', 'конкурс', 'мешать, создавать препятствие', 'ответить, поступить в ответ', 'поступок человека', 'происходящая сущность', 'противодействовать', 'пытаться, стараться', 'соревнование, состязание']",
открытость,частей,открытость,часть,Ncfsnn,Ncfpgn,PAR,['открытость'],['часть'],
физиологии,человека,физиология,человек,Ncfsgn,Ncmsgy,PAR,['физиология'],"['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
величины,лотов,величина,лотовый,Ncfsgn,Ncmpgn,PAR,['величина'],['лотовый'],
степень,лояльности,степень,лояльность,Ncfsnn,Ncfsgn,PAR,['степень'],['лояльность'],
лояльности,арендодателя,лояльность,арендодатель,Ncfsgn,Ncmsgy,PAR,['лояльность'],"['арендодатель', 'постоянная сущность', 'сторона (группа лиц)', 'сторона в договоре', 'субъект деятельности', 'участник']",
пол,ребенка,половина,ребёнок,Ncmsan,Ncmsgy,PAR,['половина'],['ребёнок'],
возрастом,женщины,возраст,женщина,Ncmsin,Ncfsgy,PAR,"['абстрактная сущность', 'возраст', 'постоянная сущность', 'свойство, характеристика']",['женщина'],
уровень,конкуренции,уровень,конкуренция,Ncmsan,Ncfsgn,PAR,['уровень'],"['бороться с соперником', 'влиять, воздействовать', 'действие человека', 'действие, целенаправленное действие', 'занятие, деятельность', 'конкуренция', 'мешать, создавать препятствие', 'общественные отношения', 'ответить, поступить в ответ', 'отношение между сущностями', 'отношения между людьми', 'поступок человека', 'происходящая сущность', 'противодействовать', 'пытаться, стараться', 'совместная деятельность', 'соревнование, состязание', 'экономические отношения']",
эффективности,работы,эффективность,работа,Ncfsgn,Ncfsgn,PAR,['эффективность'],['работа'],
продолжительность,grace-периода,продолжительность,grace-период,Ncfsan,Ncmsgn,PAR,['продолжительность'],['grace-период'],
правоту,решения,правота,решение,Ncfsan,Ncnsgn,PAR,['правота'],['решение'],
компетенции,властей,компетенция,власть,Ncfsdn,Ncfpgn,PAR,['компетенция'],['власть'],
престижа,профессии,престиж,профессия,Ncmsgn,Ncfsgn,PAR,['престиж'],"['занятие, деятельность', 'происходящая сущность', 'профессия']",
вес,ведра,вес,вёдро,Ncmsnn,Ncnsgn,PAR,['вес'],['вёдро'],
типу,наблюдения,тип,наблюдение,Ncmsdn,Ncnsgn,PAR,['тип'],['наблюдение'],
объема,информации,объём,информация,Ncmsgn,Ncfsgn,PAR,['объём'],"['абстрактная сущность', 'информация', 'постоянная сущность']",
недостатки,оказания,недостаток,оказание,Ncmpnn,Ncmpnn,PAR,['недостаток'],['оказание'],
коэффициент,конверсии,коэффициент,конверсия,Ncmsnn,Ncfsgn,PAR,"['абстрактная сущность', 'коэффициент', 'множитель', 'постоянная сущность', 'число (понятие математики)']",['конверсия'],
цена,контакта,цена,контакт,Ncfsnn,Ncmsgn,PAR,['цена'],['контакт'],
стоимость,привлечения,стоимость,привлечение,Ncfsnn,Ncnsgn,PAR,"['абстрактная сущность', 'данные (сведения)', 'информация', 'количественные данные', 'количество, величина, число', 'отличительное свойство', 'показатель (данные)', 'свойство, характеристика', 'социально-экономический показатель', 'стоимость', 'экономический показатель'].....",['привлечение'],
категориям,граждан,категория,гражданин,Ncfpdn,Ncmpgy,PAR,['категория'],"['биологическая сущность', 'гражданин', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
количество,зрителей,количество,зритель,Ncnsnn,Ncmpgy,PAR,['количество'],['зритель'],
типов,сделок,тип,сделка,Ncmpgn,Ncfpgn,PAR,['тип'],['сделка'],
типе,учителя,тип,учитель,Ncmsgn,Ncmsgy,PAR,['тип'],['учитель'],
качества,обслуживания,качество,обслуживание,Ncnsgn,Ncnsgn,PAR,['качество'],['обслуживание'],
численность,беляка,численность,беляк,Ncfsnn,Ncmsgy,PAR,"['абстрактная сущность', 'количество, величина, число', 'постоянная сущность', 'свойство, характеристика', 'численность']",['беляк'],
сказочность,героя,сказочность,герой,Ncfsan,Ncmsgy,PAR,['сказочность'],['герой'],
показателей,эффективности,показатель,эффективность,Ncmpgn,Nccfsgn,PAR,['показатель'],['эффективность'],
эффективности,деятельности,эффективность,деятельность,Ncfsgn,Ncfsgn,PAR,['эффективность'],['деятельность'],
обороноспособность,государства,обороноспособность,государство,Ncnsan,Ncnsgn,PAR,"['абстрактная сущность', 'большой, значительный', 'военная мощь', 'готовность, состояние готовности', 'мощный (очень сильный)', 'обороноспособность', 'оценка (мнение)', 'постоянная сущность', 'свойство, характеристика', 'сильный (значительный по величине, степени)', 'способность']","['государство', 'постоянная сущность', 'публично-правовое образование', 'субъект деятельности', 'субъект права']",
глубины,осмотра,глубина,осмотр,Ncfsgn,Ncmsgn,PAR,['глубина'],['осмотр'],
содержании,йода,содержание,йод,Ncnsgn,Ncmsgn,PAR,['содержание'],"['вещество', 'галоген', 'йод', 'неметаллы', 'постоянная сущность', 'физическая сущность', 'химический элемент']",
преимуществах,омона,преимущество,омон,Ncnpln,Ncmsgn,PAR,['преимущество'],"['вооруженное формирование', 'группа людей', 'омон', 'полицейский спецназ', 'совокупность людей', 'спецподразделение', 'субъект деятельности', 'формирование, подразделение']",
структуру,управления,структура,управление,Ncfsan,Ncnsgn,PAR,['структура'],['управление'],
открытость,работы,открытость,работа,Ncfsgn,Ncfsgn,PAR,['открытость'],['работа'],
правоту,стороны,правота,сторона,Ncfsan,Ncfsgn,PAR,['правота'],['сторона'],
стоимость,путевки,стоимость,путёвка,Ncfsnn,Ncfsgn,PAR,"['абстрактная сущность', 'данные (сведения)', 'информация', 'количественные данные', 'количество, величина, число', 'отличительное свойство', 'показатель (данные)', 'свойство, характеристика', 'социально-экономический показатель', 'стоимость', 'экономический показатель']",['путёвка'],
размеры,пособий,размер,пособие,Ncmpnn,Ncnpgn,PAR,['размер'],['пособие'],
сроком,реализации,срок,реализация,Ncmsin,Ncfsgn,PAR,['срок'],['реализация'],
восприятие,пациента,восприятие,пациент,Ncnsan,Ncmsgy,PAR,['восприятие'],"['биологическая сущность', 'больной человек', 'живой организм', 'пациент', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
характер,недуга,характер,недуг,Ncmsan,Ncmsgy,PAR,['характер'],['недуг'],
телом,души,тело,душа,Ncfsin,Ncmsgy,PAR,['тело'],['душа'],
количество,участников,количество,участник,Ncnsan,Ncmpgy,PAR,['количество'],"['постоянная сущность', 'субъект деятельности', 'участник']",
числа,операторов,число,оператор,Ncnsgn,Ncmpgy,PAR,['число'],['оператор'],
симптомы,болезни,симптом,болезнь,Ncmpan,Ncfsgn,PAR,['симптом'],"['болезнь', 'влиять, воздействовать', 'качество (степень ценности, пригодности)', 'нарушить состояние, ход', 'недостаток, неправильность', 'обстоятельства, обстановка, условия', 'обуславливать, способствовать', 'повреждение (недостаток)', 'повреждение здоровья', 'прекратить, положить конец', 'принудить, заставить', 'самочувствие', 'свойство, характеристика', 'состояние организма', 'состояние, внутренние обстоятельства', 'степень (сравнительная величина)', 'физическое самочувствие']",
цена,присоединения,цена,присоединение,Ncfsnn,Ncnsgn,PAR,['цена'],['присоединение'],
функций,совета,функция,совет,Ncfpgn,Ncmsgn,PAR,['функция'],['совет'],
жест,предшественника,жест,предшественник,Ncmsan,Ncmsgy,PAR,['жест'],"['биологическая сущность', 'живой организм', 'постоянная сущность', 'предшественник', 'субъект деятельности', 'физическая сущность', 'человек']",
объему,сжигания,объём,сжигание,Ncmsdn,Ncnsgn,PAR,['объём'],['сжигание'],
качество,молока,качество,молоко,Ncnsan,Ncnsgn,PAR,['качество'],['молоко'],
количество,молока,количество,молоко,Ncnsnn,Ncnsgn,PAR,['количество'],['молоко'],
стоимости,бензинов,стоимость,бензиновый,Ncfsdn,Ncmpgn,PAR,"['абстрактная сущность', 'данные (сведения)', 'информация', 'количественные данные', 'количество, величина, число', 'отличительное свойство', 'показатель (данные)', 'свойство, характеристика', 'социально-экономический показатель', 'стоимость', 'экономический показатель']",['бензиновый'],
уровень,знаний,уровень,знание,Ncmsan,Ncnpgn,PAR,['уровень'],['знание'],
показателе,смертности,показатель,смертность,Ncmsln,Ncfsgn,PAR,['показатель'],['смертность'],
талант,пианиста,талант,пианист,Ncmsan,Ncmsgy,PAR,['талант'],"['авторитетный человек', 'артист', 'деятель', 'деятель искусства', 'живой организм', 'известный человек', 'исполнитель произведения', 'музыкант', 'музыкант-исполнитель', 'пианист', 'создатель', 'субъект деятельности', 'творческий работник', 'человек']",
запаха,тела,запах,тело,Ncmsgn,Ncnsgn,PAR,"['абстрактная сущность', 'запах', 'постоянная сущность', 'свойство, характеристика']",['тело'],
героизм,бэтмена,героизм,бэтмена,Ncmsan,Npmsgy,PAR,['героизм'],['бэтмена'],
конкурентноспособности,продукции,конкурентноспособность,продукция,Ncfsgn,Ncfsgn,PAR,['конкурентноспособность'],['продукция'],
объем,работ,объесть,работа,Ncmsan,Ncfpgn,PAR,['объесть'],['работа'],
колоритности,персонажа,колоритность,персонаж,Ncfsdn,Ncmsgy,PAR,['колоритность'],"['персонаж', 'постоянная сущность', 'субъект деятельности']",
выносливости,физкультурника,выносливость,физкультурник,Ncfsgn,Ncmsgy,PAR,['выносливость'],['физкультурник'],
могущество,писателя,могущество,писатель,Ncnsnn,Ncmsgy,PAR,['могущество'],"['автор', 'авторитетный человек', 'биологическая сущность', 'деятель', 'деятель искусства', 'живой организм', 'известный человек', 'писатель', 'постоянная сущность', 'создатель', 'субъект деятельности', 'творческий работник', 'человек']",
концепция,интеллекта,концепция,интеллект,Ncfsnn,Ncmsgn,PAR,['концепция'],['интеллект'],
важность,ситуации,важность,ситуация,Ncnsan,Ncfsgn,PAR,['важность'],['ситуация'],
степень,ответственности,степень,ответственность,Ncnsan,Ncfsgn,PAR,['степень'],['ответственность'],
генома,человека,геном,человек,Ncmsgn,Ncmsgy,PAR,"['биологическая сущность', 'ген', 'геном', 'постоянная сущность', 'физическая сущность']","['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
тону,директора,тонуть,директор,Ncmsdn,Ncmsgy,PAR,['тонуть'],['директор'],
облика,смены,облик,смена,Ncmsgn,Ncfsgn,PAR,['облик'],['смена'],
степени,тяжести,степень,тяжесть,Ncfsgn,Ncfsgn,PAR,['степень'],['тяжесть'],
репутацию,человека,репутация,человек,Ncfsan,Ncmsgy,PAR,"['абстрактная сущность', 'мнение', 'оценка (мнение)', 'постоянная сущность', 'репутация', 'суждение']","['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
размер,ставки,размер,ставка,Ncmsnn,Ncfsgn,PAR,['размер'],['ставка'],
кредитоспособности,клиента,кредитоспособность,клиент,Ncfsgn,Ncmsgy,PAR,['кредитоспособность'],['клиент'],
тонкости,процесса,тонкость,процесс,Ncfpan,Ncmsgn,PAR,['тонкость'],['процесс'],
успешность,программ,успешность,программа,Ncfsnn,Ncfpgn,PAR,['успешность'],['программа'],
открытостью,программ,открытость,программа,Ncfsin,Ncfpgn,PAR,['открытость'],['программа'],
ясностью,изложения,ясность,изложение,Ncfsin,Ncnsgn,PAR,['ясность'],['изложение'],
пластичность,человека,пластичность,человек,Ncnsan,Ncmsgy,PAR,['пластичность'],"['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
качества,преподавания,качество,преподавание,Ncnsgn,Ncnsgn,PAR,['качество'],"['занятие, деятельность', 'обучение, учебная деятельность', 'педагогическая деятельность', 'преподавание', 'происходящая сущность']",
достоинствах,плана,достоинство,план,Ncnpgn,Ncmsgn,PAR,['достоинство'],['план'],
доступность,территорий,доступность,территория,Ncnsan,Ncfpgn,PAR,['доступность'],['территория'],
скорость,доставки,скорость,доставка,Ncnsan,Ncfsgn,PAR,['скорость'],['доставка'],
конкурентноспособность,экономики,конкурентноспособность,экономика,Ncfsan,Ncfsgn,PAR,['конкурентноспособность'],"['занятие, деятельность', 'происходящая сущность', 'сфера деятельности', 'экономика']",
вес,человека,вес,человек,Ncmsan,Ncmsgy,PAR,['вес'],"['биологическая сущность', 'живой организм', 'постоянная сущность', 'субъект деятельности', 'физическая сущность', 'человек']",
устойчивости,развития,устойчивость,развитие,Ncfsgn,Ncnsgn,PAR,['устойчивость'],"['измениться, изменение', 'происходящая сущность', 'процесс, смена состояний', 'развитие']",
стоимость,долга,стоимость,долг,Ncfsan,Ncmsgn,PAR,"['абстрактная сущность', 'данные (сведения)', 'информация', 'количественные данные', 'количество, величина, число', 'отличительное свойство', 'показатель (данные)', 'свойство, характеристика', 'социально-экономический показатель', 'стоимость', 'экономический показатель']",['долг'],
уровень,качества,уровень,качество,Ncmsan,Ncnsgn,PAR,['уровень'],['качество'],
параметрах,бюджета,параметр,бюджет,Ncmpln,Ncmsgn,PAR,['параметр'],['бюджет'],
амплитуда,изменений,амплитуда,изменение,Ncfsnn,Ncnpgn,PAR,"['абстрактная сущность', 'амплитуда', 'количественный параметр', 'количество, величина, число', 'отличительное свойство', 'постоянная сущность', 'свойство, характеристика']",['изменение'],
объемы,средств,объём,средство,Ncmpan,Ncnpgn,PAR,['объём'],['средство'],
квалификации,персонала,квалификация,персонал,Ncfsgn,Ncmsgn,PAR,['квалификация'],['персонал'],
срок,действия,срок,действие,Ncmsan,Ncnsgn,PAR,['срок'],['действие'],
надежности,компании,надёжность,компания,Ncfsln,Ncfsgn,PAR,['надёжность'],"['компания', 'организация, учреждение', 'постоянная сущность', 'предприятие', 'субъект деятельности', 'экономический агент']",
особенности,характера,особенность,характер,Ncfpan,Ncmsgn,PAR,['особенность'],['характер'],
склад,ума,склад,ум,Ncmsan,Ncmsgn,PAR,['склад'],['ум'],
обоснованность,проекта,обоснованность,проект,Ncfsnn,Ncmsgn,PAR,['обоснованность'],['проект'],
уникальность,роли,уникальность,роль,Ncfsnn,Ncfsgy,PAR,['уникальность'],['роль'],
законность,пропажи,законность,пропажа,Ncfsnn,Ncnsgn,PAR,"['законность', 'правовой статус', 'роль, положение, место', 'статус', 'формальный статус']",['пропажа'],
темп,бега,темп,бег,,,PAR,['темп'],['бег'],
длительности,правления,длительность,правление,,,PAR,['длительность'],['правление'],
блеска,снега,блеск,снег,,,PAR,['блеск'],"['вещество', 'постоянная сущность', 'снег', 'физическая сущность']",
темп,накопления,темп,накопление,,,PAR,['темп'],['накопление'],
качеством,сбора,качество,сбор,,,PAR,['качество'],['сбор'],
прищура,начальника,прищур,начальник,,,PAR,['прищур'],"['биологическая сущность', 'должностное лицо', 'живой организм', 'лидер', 'начальник', 'постоянная сущность', 'работник', 'руководитель', 'служащий (работник)', 'субъект деятельности', 'физическая сущность', 'человек']",
кинетику,сворачивания,кинетика,сворачивание,,,PAR,['кинетика'],['сворачивание'],
свойств,синаптотагмена,свойство,синаптотагмен,,,PAR,['свойство'],['синаптотагмен'],
скорость,бега,скорость,бег,,,PAR,['скорость'],['бег'],
