№,Head,Gen,HeadNorm,GenNorm,HeadForm,GenForm,Rel,HeadSem,GenSem,SetRel,HeadDer,GenDer
1,сын,партнера,сын,партнер,Ncmsny,Ncmsny,KIN-SOC,,,,N,N
2,вице-премьер,правительства,вице-премьер,правительство,Nsmsny,Ncnsgn,MB,,,,N,Vn
3,представитель,президента,представитель,президент,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
4,президента,рф,президент,рф,Ncmsgy,Ncfsgn,MB,,,,N,N
5,оргaнизации,форума,оргaнизация,форум,Ncfsdn,Ncmsgn,OB,,,,Vt,N
6,заместитель,главы,заместитель,глава,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
7,главы,администрации,глава,администрация,Ncmsgy,Ncfsgn,MB,,,,N,N
8,администрации,президента,администрация,президент,Ncfsgn,Ncmsgy,MB,,,,N,N
9,руководитель,отделения,руководитель,отделение,Ncmsny,Ncnsgn,MB,,,,Vt,Vt
10,профессор,биофизики,профессор,биофизик,Ncmsny,Ncfsgn,ATR,,,,N,N
11,отеделения,рентгенологии,отеделение,рентгенология,Ncnsgn,Ncfsgn,ATR,,,,Vt,N
12,отец,малыша,отец,малыш,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
13,адвокат,дьявола,адвокат,дьявол,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
14,директор,"""би-би-си""",директор,би-би-си,Ncmsny,Ncfsnn,MB,,,,N,N
15,похищении,экспедитора,похищение,экспедитор,Ncnsln,Ncmsay,OB,,,,Vt,N
16,экспедитора,компании,экспедитор,компания,Ncmsay,Ncfsgn,MB,,,,N,N
17,обязанности,тренера,обязанность,тренер,Ncfpan,Ncmsgy,ATR,,,,A,Vt
18,директор,клуба,директор,клуб,Ncmsny,Ncmsgn,MB,,,,N,N
19,вещи,отца,вещь,отец,Ncfpan,Ncmsgy,POS,,,,N,N
20,некорректность,высказываний,некорректность,высказывание,Ncfsnn,Ncpgn,PAR,,,,A,Vt
21,женой,офицера,жена,офицер,Ncfsiy,Ncmsgy,KIN-SOC,,,,N,N
22,подробности,задержания,подробность,задержание,Ncfpan,Ncnsgn,ATR,,,,A,Vt
23,обозреватель,"""кп""",обозреватель,кп,Ncmsny,Ncmsnn,MB,,,,Vt,N
24,друг,человека,друг,человек,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
25,поручению,губернатора,поручение,губернатор,Ncnsdn,Ncmsgy,SAG,,,,Vt,N
26,подбором,площадок,подбор,площадка,Ncnsin,Ncfpgn,OB,,,,Vt,N
27,зампред,правительства,зампред,правительство,Ncmsny,Ncmsgn,MB,,,,Vt,N
28,рекомендациям,комиссии,рекомендация,комиссия,Ncfpdn,Ncfsgn,SAG,,,,Vt,N
29,приходом,тренера,приход,тренер,Ncmsin,Ncmsgy,SAG,,,,Vn,N
30,советник,председателя,советник,председатель,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
31,председателя,комитета,председатель,комитет,Ncmsgy,Ncmsgn,MB,,,,Vt,N
32,друг,ребенка,друг,ребенок,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
33,добыча,омуля,добыча,омуль,Ncfsnn,Ncmsgy,OB,,,,Vt,N
34,помощник,руководителя,помощник,руководитель,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
35,жалобы,приморцев,жалоба,приморец,Ncfpan,Ncmpgy,SAG,,,,Vn,N
36,действия,команды,действие,команда,Ncfpan,Ncfsgy,SAG,,,,Vn,N
37,телефонов,граждан,телефон,гражданин,Ncmpgn,Ncmpgy,POS,,,,N,N
38,оценки,работы,оценка,работа,Ncfsgn,Ncfsgn,OB,,,,Vt,Vn
39,фамилии,присутствующих,фамилия,присутствующий,Ncfsgn,Afpmpgf,POS,,,,N,N
40,адвокат,сержанта,адвокат,сержант,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
41,власть,землевладельца,власть,землевладелец,Ncfsnn,Ncmsgy,SAG,,,,Vn,N
42,разрешения,хозяина,разрешение,хозяин,Ncnsgn,Ncmsgy,SAG,,,,Vt,N
43,содержание,архиерея,содержание,архиерей,Ncnsan,Ncmsgy,OB,,,,Vt,N
44,наша,ставка,наш,ставка,P-snfna,Ncfsnn,POS,,,,N,N
45,кресло,главы,кресло,глава,Ncnsan,Ncmsgy,POS,,,,N,N
46,главы,района,глава,район,Ncmsgy,Ncmsgn,MB,,,,N,N
47,проведения,агитации,проведение,агитация,Ncnsgn,Ncfsgn,OB,,,,Vt,Vt
48,журналист,телеканала,журналист,телеканал,Ncmsny,Ncmsgy,MB,,,,N,N
49,встречу,начальника,встреча,начальник,Ncfsan,Ncmsgy,SAG,,,,Vt,N
50,начальника,отдела,начальник,отдел,Ncmsgy,Ncmsgn,MB,,,,N,N
51,отдела,прокуратуры,отдел,прокуратура,Ncmsgn,Ncfsgn,WH,,,,Vt,N
52,съемках,программы,съемка,программа,Ncfpln,Ncfsgn,OB,,,,Vt,N
53,преследования,гражданина,преследование,гражданин,Ncnsgn,Ncmsgy,OB,,,,Vt,N
54,обнаружения,имущества,обнаружение,имущество,Ncnsgn,Ncnsgn,OB,,,,Vt,Vt
55,партнер,компании,партнер,компания,Ncmsny,Ncfsgn,KIN-SOC,,,,N,N
56,объяснения,редактора,объяснение,редактор,Ncnsgn,Ncmsgy,SAG,,,,Vn,Vt
57,промах,редакции,промах,редакция,Ncmsnn,Ncfsgn,SAG,,,,Vn,Vt
58,исполнителей,злодеяния,исполнитель,злодеяние,Ncmpgy,Ncfsgn,OB',,,,Vt,N
59,кара,аллаха,кара,аллах,Ncfsnn,Ncmsgy,SAG,,,,Vn,N
60,накопления,человека,накопление,человек,Ncnpnn,Ncmsgy,POS,,,,N,N
61,заседании,комиссии,заседание,комиссия,Ncnsln,Ncfsgn,SAG,,,,Vn,N
62,комиссии,области,комиссия,область,Ncfsgn,Ncfsgn,ATR,,,,N,N
63,заместитель,комиссара,заместитель,комиссар,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
64,комиссара,области,комиссар,область,Ncmsgy,Ncfsgn,MB,,,,N,N
65,начальник,отдела,начальник,отдел,Ncmsny,Ncmsgn,MB,,,,N,N
66,отдела,призыва,отдел,призыв,Ncmsgn,Ncmsgn,WH,,,,Vt,Vt
67,утверждение,президента,утверждение,президент,Ncnsan,Ncmsgy,SAG,,,,Vt,N
68,состав,правительства,состав,правительство,Ncmsan,Ncnsgn,PAR,,,,Vn,Vn
69,листы,директора,лист,директор,Ncmpan,Ncmsgy,POS,,,,N,N
70,место,афганистана,место,афганистан,Ncnsan,Npmsgn,POS,,,,N,N
71,родственник,вице-премьера,родственник,вице-премьер,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
72,экранизацией,произведений,экранизация,произведение,Ncfsin,Ncnpgn,OB,,,,Vt,Vt
73,племянник,чародея,племянник,чародей,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
74,платежи,покупателя,платеж,покупатель,Ncmpan,Ncmsgy,SAG,,,,Vn,N
75,представителя,племени,представитель,племя,Ncmsgy,Ncnsgn,MB,,,,Vt,N
76,особенности,охоты,особенность,охота,Ncfpnn,Ncfsgn,PAR,,,,A,Vt
77,поиск,донора,поиск,донор,Ncmsan,Ncmsgy,OB,,,,Vt,N
78,опеку,парня,опека,парень,Ncfsan,Ncmsgy,SAG,,,,Vt,N
79,отец,живописца,отец,живописец,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
80,консолидация,усилий,консолидация,усилие,Ncfsnn,Ncnpgn,OB,,,,Vt,N
81,работа,групп,работа,группа,Ncfsnn,Ncfpgn,SAG,,,,Vn,N
82,строительство,домов,строительство,дом,Ncnsnn,Ncmpgn,OB,,,,Vt,N
83,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
84,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,MB,,,,Vt,N
85,директором,департамента,директор,департамент,Ncmsiy,Ncmsgn,MB,,,,N,N
86,департамента,мчс,департамент,мчс,Ncmsgn,Ncnsgn,WH,,,,N,N
87,управления,защиты,управление,защита,Nsnsgn,Nsfsgn,OB,,,,Vt,Vt
88,защиты,информации,защита,информация,Nsfsgn,Ncfsgn,OB,,,,Vt,N
89,обеспечения,безопасности,обеспечение,безопасность,Nsnsgn,Ncfsgn,OB,,,,Vt,A
90,безопасности,работ,безопасность,работа,Ncfsgn,Ncfpgn,PAR,,,,A,Vn
91,работ,ведомства,работа,ведомство,Ncfpgn,Ncnsgn,SAG,,,,Vn,N
92,подписание,соглашения,подписание,соглашение,Ncnsnn,Ncnsgn,OB,,,,Vt,Vn
93,глава,мид,глава,мид,Ncmsny,Ncnsgn,MB,,,,N,N
94,президенте,рф,президент,рф,Ncmsly,Ncfsgn,MB,,,,N,N
95,вдова,артиста,вдова,артист,Ncfsnn,Ncmsgy,KIN-SOC,,,,N,N
96,состояние,его,состояние,он,Ncnsan,P-3msan,PAR,,,,A,N
97,тяжесть,течения,тяжесть,течение,Ncnsan,Ncnsgn,PAR,,,,A,Vn
98,течения,заболевания,течение,заболевание,Ncnsgn,Ncnsgn,PAR,,,,A,Vn
99,мужем,людмилы,муж,людмила,Ncmsiy,Npfsgy,KIN-SOC,,,,N,N
100,отбор,автомобилей,отбор,автомобиль,Ncmsan,Ncmpgn,OB,,,,Vt,N
101,имени,производителей,имя,производитель,Ncnsgn,Ncmpgy,POS,,,,N,Vt
102,папа,первоклассника,папа,первоклассник,Ncmsny,Nsmcgy,KIN-SOC,,,,N,N
103,ворот,соперника,ворота,соперник,Ncmpgn,Ncmsgy,POS,,,,N,Vn
104,лидер,боевиков,лидер,боевик,Ncmsny,Ncmpgy,MB,,,,N,N
105,гибели,садиста,гибель,садист,Ncfsgn,Ncmsgy,SPA,,,,Vn,N
106,здоровье,человека,здоровье,человек,Ncnsan,Ncmsgy,PAR,,,,A,N
107,мама,чемпиона,мама,чемпион,Ncfsny,Ncmsgy,KIN-SOC,,,,N,N
108,учеником,города,ученик,город,Ncmsiy,Ncmsgn,MB,,,,N,N
109,приятель,героя,приятель,герой,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
110,возбуждение,дела,возбуждение,дело,Ncnsan,Ncnsgn,OB,,,,Vt,N
111,соучастник,побега,соучастник,побег,Ncmsny,Ncmsgn,SAG,,,,Vn,N
112,норме,площади,норма,площадь,Ncnsdn,Ncfsgn,ATR,,,,A,N
113,родители,собственника,родитель,собственник,Ncmpny,Ncmsgy,KIN-SOC,,,,N,N
114,неисполнение,требований,неисполнение,требование,Ncnsan,Ncnpgn,OB,,,,Vt,Vt
115,благосклонностью,вора,благосклонность,вор,Ncfsin,Ncmsgy,PAR,,,,A,N
116,офис,агенства,офис,агенство,Ncmsan,Ncfsgn,POS,,,,N,N
117,заключение,договора,заключение,договор,Ncnsnn,Ncmsgn,OB,,,,Vt,Vn
118,город,проживания,город,проживание,Ncmsan,Ncnsgn,ATR,,,,N,Vn
119,место,работы,место,работа,Ncnsan,Ncfsgn,ATR,,,,N,Vn
120,знак,одобрения,знак,одобрение,Ncmsan,Ncnsgn,ATR,,,,N,Vt
121,одобрения,слов,одобрение,слово,Ncnsgn,Ncnpgn,OB,,,,Vt,N
122,пресс-секретарь,главы,пресс-секретарь,глава,Ncmsgy,Ncmsgy,KIN-SOC,,,,N,N
123,главы,правительства,глава,правительство,Ncmsgy,Ncnsgn,MB,,,,N,Vn
124,время,программы,время,программа,Ncnsan,Ncnsgn,ATR,,,,N,N
125,сын,наследника,сын,наследник,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
126,наследника,престола,наследник,престол,Ncmsgy,Ncmsgn,ATR,,,,N,N
127,строительства,дворца,строительство,дворец,Ncnsgn,Ncmsgn,OB,,,,Vt,N
128,установлении,навязывания,установление,навязывание,Ncnsin,Ncnsgn,OB,,,,Vt,Vt
129,невыгодность,условия,невыгодность,условие,Ncfsnn,Ncnsgn,PAR,,,,A,N
130,вице-президент,центра,вице-президент,центр,Ncfsnn,Ncnsgn,PAR,,,,A,N
131,центра,технологий,центр,технология,Ncmsny,Ncmsgn,MB,,,,N,N
132,помиловании,михаила,помилование,михаил,Ncnsln,Npmsgy,ATR,,,,N,N
133,правления,медведева,правление,медведев,Ncnsln,Npmsgy,OB,,,,Vt,N
134,срока,правления,срок,правление,Ncmsgn,Ncmsgy,SAG,,,,Vn,N
135,пагубности,застоя,пагубность,застой,Ncfsgn,Ncnsgn,ATR,,,,N,Vn
136,пользе,образования,польза,образование,Ncfsgn,Ncmsgn,PAR,,,,A,N
137,наступления,кризиса,наступление,кризис,Ncnsgn,Ncmsgn,PAR,,,,Vn,N
138,проведении,политики,проведение,политика,Ncnsgln,Ncfsgn,OB,,,,Vt,N
139,благах,роста,благо,рост,Ncfsnn,Ncmpgy,PAR,,,,A,Vn
140,полпред,президента,полпред,президент,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
141,президента,рф,президент,рф,Ncmsgy,Ncfsgn,MB,,,,N,N
142,характеристику,развития,характеристика,развитие,Ncfsdn,Ncnsgn,PAR,,,,A,Vn
143,развития,комплекса,развитие,комплекс,Ncnsgn,Ncmsgn,SPA,,,,Vn,N
144,церемонии,вручения,церемония,вручение,Ncfsln,Ncnsgn,ATR,,,,N,Vt
145,вручения,премий,вручение,премия,Ncnsgn,Ncfpgn,OB,,,,Vt,N
146,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,Vn
147,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,MB,,,,Vt,Vn
148,министр,экономики,министр,экономика,Ncmsny,Ncfsgn,ATR,,,,N,Vn
149,министр,образования,министр,образование,Ncmsny,Ncnsgn,ATR,,,,N,N
150,ректор,университета,ректор,университет,Ncmsny,Ncmsgn,MB,,,,N,Vt
151,поклонники,булкагова,поклонник,булкагов,Ncmpny,Npmsgy,KIN-SOC,,,,Vt,N
152,убийство,журавля,убийство,журавль,Ncnsan,Ncmsgy,OB,,,,Vt,N
153,действия,водителя,действие,водитель,Ncnpan,Ncmsgy,SAG,,,,Vn,Vn
154,особенностей,подростка,особенность,подросток,Ncfsgn,Ncmsgy,PAR,,,,A,N
155,машине,помощи,машина,помощь,Ncfsln,Ncfsgn,ATR,,,,N,N
156,враг,врага,враг,враг,Ncmsny,Ncmsgy,KIN-SOC,,,,N,Vt
157,премьер,рф,премьер,рф,Ncmsny,Ncfsgn,MB,,,,N,N
158,увольнения,чиновников,увольнение,чиновник,Ncnsgn,Ncmpgy,OB,,,,Vt,N
159,брат,форварда,брат,форвард,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
160,покровитель,ваенги,покровитель,ваенга,Ncmsny,Npfsgy,KIN-SOC,,,,Vt,Vn
161,состояние,мэра,состояние,мэр,Ncnsnn,Ncmsgy,PAR,,,,A,N
162,задержании,его,задержание,он,Ncnsln,P-3msgy,OB,,,,Vt,N
163,материалам,комиссии,материал,комиссия,Ncmpdn,Ncfsgn,POS,,,,N,N
164,реакцию,пассажира,реакция,пассажир,Ncfsan,Ncmsgy,SAG,,,,Vn,N
165,дверь,кабинета,дверь,кабинет,Ncfsan,Ncmsgn,WH,,,,N,N
166,кабинета,начальника,кабинет,начальник,Ncmsgn,Ncmsgy,POS,,,,N,N
167,образа,полковника,образ,полковник,Ncmsgn,Npmsgy,PAR,,,,A,Vn
168,вопросы,неравенста,вопрос,неравенст,Ncmpnn,Ncnsgn,ATR,,,,N,N
169,пример,человека,пример,человек,Ncmsnn,Ncmsgy,ATR,,,,N,N
170,возведением,недвижимости,возведение,недвижимость,Ncnsin,Ncfsgn,OB,,,,Vt,N
171,восстановление,сектора,восстановление,сектор,Ncnsan,Ncmsgn,OB,,,,Vt,N
172,доме,ребенка,дом,ребенок,Ncmsln,Ncmsgy,ATR,,,,N,N
173,труд,врача,труд,врач,Ncmsnn,Ncmsgy,SAG,,,,Vn,Vn
174,супруга,чемпиона,супруг,чемпион,Ncfsny,Ncmsgy,KIN-SOC,,,,N,N
175,член,комитета,член,комитет,Ncmsny,Ncmsgn,MB,,,,N,N
176,здоровья,человека,здоровье,человек,Ncnsgn,Ncmsgy,PAR,,,,A,N
177,распространении,клеветы,распространение,клевета,Ncnsgn,Ncfsgn,OB,,,,Vt,N
178,шафером,принца,шафер,принц,Ncmsiy,Ncmsgy,KIN-SOC,,,,N,N
179,юрист,партии,юрист,партия,Ncmsny,Ncfsgn,MB,,,,N,N
180,реализации,проекта,реализация,проект,Ncfsgn,Ncmsgn,OB,,,,Vt,N
181,проекта,национализации,проект,национализация,Ncmsgn,Ncfsgn,ATR,,,,N,N
182,вопрос,увеличения,вопрос,увеличение,Ncmsan,Ncnsgn,ATR,,,,N,Vn
183,увеличения,размера,увеличение,размер,Ncnsgn,Ncmsgn,OB,,,,Vt,N
184,размера,выплаты,размер,выплата,Ncmsgn,Ncfsgn,PAR,,,,A,Vt
185,заместитель,министра,заместитель,министр,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
186,переселение,объектов,переселение,объект,Ncnsan,Ncmpgn,OB,,,,Vt,N
187,объектов,назначения,объект,назначение,Ncmpgn,Ncnsgn,PAR,,,,N,Vt
188,решение,задач,решение,задача,Ncnsan,Ncfpgn,OB,,,,Vt,N
189,развитие,туризма,развитие,туризм,Ncnsan,Ncmsgn,SPA,,,,Vn,N
190,министра,развития,министр,развитие,Ncmsgy,Ncnsgn,ATR,,,,N,Vn
191,качествами,руководителя,качество,руководитель,Ncnpin,Ncmsgy,PAR,,,,A,N
192,глава,государства,глава,государство,Ncmsny,Ncnsgn,MB,,,,N,N
193,идею,неравенста,идея,неравенст,Ncfsan,Ncnsgn,ATR,,,,N,Vn
194,портрету,мздоимца,портрет,мздоимец,Ncmsdn,Ncmsgy,OB',,,,N,N
195,комбинат,хлебопродуктов,комбинат,хлебопродукт,Ncmsnn,Ncmpgn,ATR,,,,N,N
196,отставки,премьера,отставка,премьера,Ncfsgn,Ncmsgy,OB,,,,Vt,N
197,бог,сна,бог,сон,Ncmsny,Ncmsgn,ATR,,,,N,Vn
198,вирус,герпеса,вирус,герпес,Ncmsnn,Ncmsgn,ATR,,,,N,N
199,клетку,человека,клетка,человек,Ncfsan,Ncmsgy,WH,,,,N,N
200,ассистент,балетмейстера,ассистент,балетмейстер,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
201,балетмейстера,театра,балетмейстер,театр,Ncmsgy,Ncmsgn,MB,,,,N,N
202,театра,комедии,театр,комедия,Ncmsgn,Ncfsgn,ATR,,,,N,N
203,права,владелицы,право,владелица,Ncnpan,Ncfsgy,POS,,,,N,N
204,владелицы,авто,владелица,авто,Ncfsgy,Ncnsgn,POS,,,,N,N
205,характеры,принца,характер,принц,Ncmpan,Ncmsgy,PAR,,,,N,N
206,подготовке,статьи,подготовка,статья,Ncfskn,Ncfsgn,OB,,,,Vt,N
207,реформе,хозяйства,реформа,хозяйство,Ncfsln,Ncnsgn,OB,,,,Vt,N
208,участием,лыжника,участие,лыжник,Ncnsin,Ncmsgy,SAG,,,,Vn,N
209,хозяйства,области,хозяйство,область,Ncnsgn,Ncfsgn,POS,,,,N,N
210,сын,олигарха,сын,олигарх,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
211,восстание,рабов,восстание,раб,Ncnsan,Ncmpgy,SAG,,,,Vn,Vn
212,руководством,спартака,руководство,спартак,Ncnsin,Npmsgy,SAG,,,,Vn,N
213,репутацию,человека,репутация,человек,Ncfsan,Ncmsgy,ATR,,,,N,N
214,совращении,жрицы,совращение,жрица,Ncnsln,Ncfsgy,OB,,,,Vt,N
215,покупке,участка,покупка,участок,Ncfsln,Ncmsgn,OB,,,,Vt,N
216,защитой,капитана,защита,капитан,Ncfsin,Ncmsgy,OB,,,,Vt,N
217,мастерство,актера,мастерство,актер,Ncnsnn,Ncmsgy,PAR,,,,A,N
218,снимки,стороны,снимок,сторона,Ncmpnn,Ncfsgn,OB',,,,Vt,N
219,стороны,луны,сторона,луна,Ncfsgn,Ncfsgn,WH,,,,N,N
220,полет,женщины,полет,женщина,Ncmsnn,Ncmsgy,SAG,,,,Vn,N
221,выход,человека,выход,человек,Ncmsnn,Ncmsgy,SAG,,,,Vn,N
222,должность,шеф-повара,должность,шеф-повар,Ncfsan,Ncmsgy,ATR,,,,N,N
223,условиям,конкурса,условие,конкурс,Ncnpdn,Ncmsgn,PAR,,,,A,N
224,прохождении,конкурса,прохождение,конкурс,Ncnsln,Ncmsgn,OB,,,,Vt,N
225,подельники,вора,подельник,вор,Ncmpny,Ncmsgy,KIN-SOC,,,,Vt,N
226,открытость,частей,открытость,часть,Ncfsnn,Ncfpgn,PAR,,,,A,N
227,член,совета,член,совет,Ncmsny,Ncmsgn,MB,,,,N,N
228,президенте,рф,президент,рф,Ncmsly,Ncfsgn,MB,,,,N,N
229,институтов,общества,институт,общество,Ncmpgn,Ncnsgn,ATR,,,,N,Vn
230,правам,человека,право,человек,Ncnpdn,Ncmsgy,ATR,,,,N,N
231,защитник,отечества,защитник,отечество,Ncmsny,Ncnsgn,OB,,,,Vt,N
232,план,работы,план,работа,Ncmsan,Ncfsgn,ATR,,,,N,Vn
233,профессор,кафедры,профессор,кафедра,Ncmsny,Ncfsgn,MB,,,,N,N
234,кафедры,физиологии,кафедра,физиология,Ncfsgn,Ncfsgn,ATR,,,,N,N
235,физиологии,человека,физиология,человек,Ncfsgn,Ncmsgy,PAR,,,,A,N
236,кафедры,факультета,кафедра,факультет,Ncfsgn,Ncmsgn,WH,,,,N,N
237,факультета,мгу,факультет,мгу,Ncmsgn,Ncmsgn,WH,,,,N,N
238,величины,лотов,величина,лотовый,Ncfsgn,Ncmpgn,PAR,,,,A,N
239,идею,отмены,идея,отмена,Ncfsan,Ncfsgn,ATR,,,,N,N
240,отмены,выборов,отмена,выбор,Ncfsgn,Ncmpgn,OB,,,,Vt,N
241,выборов,мэра,выбор,мэр,Ncmpgn,Ncmsgy,OB,,,,Vt,Vn
242,мэра,владивостока,мэр,владивосток,Ncmsgy,Npmsgn,MB,,,,N,N
243,пикетом,протеста,пикет,протест,Ncmsin,Ncmsgn,ATR,,,,N,Vn
244,здания,думы,здание,дума,Ncnsgn,Ncfsgn,ATR,,,,N,Vn
245,степень,лояльности,степень,лояльность,Ncfsnn,Ncfsgn,PAR,,,,N,A
246,лояльности,арендодателя,лояльность,арендодатель,Ncfsgn,Ncmsgy,PAR,,,,A,N
247,собственник,бизнес-центра,собственник,бизнес-центр,Ncmsny,Ncmsgn,POS,,,,N,N
248,права,расторжения,право,расторжение,Ncnsgn,Ncnsgn,ATR,,,,N,N
249,регистрации,ребенка,регистрация,ребенок,Ncfsln,Ncmsgy,OB,,,,Vt,N
250,органах,загса,орган,загс,Ncmpln,Ncmsgn,WH,,,,N,N
251,получение,квартиры,получение,квартира,Ncnsan,Ncfsgn,OB,,,,Vt,Vn
252,губернатор,края,губернатор,край,Ncmsny,Ncmsgn,MB,,,,N,Vn
253,посещение,красноярска,посещение,красноярск,Ncnsnn,Ncmsgn,OB,,,,Vt,N
254,пресс-секретарь,премьера,пресс-секретарь,премьера,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
255,гендиректор,агенства,гендиректор,агенство,Ncmsny,Ncnsgn,MB,,,,N,N
256,агенства,недвижимости,агенство,недвижимость,Ncnsgn,Ncfsgn,ATR,,,,N,N
257,возведением,стен,возведение,стена,Ncnsin,Ncfpgn,OB,,,,Vt,N
258,историю,семьи,история,семья,Ncfsan,Ncfsgn,ATR,,,,N,N
259,срезе,войны,срез,война,Ncmsln,Ncfsgn,WH,,,,N,N
260,родителей,парня,родитель,парень,Ncmpay,Ncmsgy,KIN-SOC,,,,N,N
261,комитет,нацбезопасности,комитет,нацбезопасность,Ncmsan,Ncfsgn,ATR,,,,N,N
262,отказ,москвы,отказ,москва,Ncmsnn,Ncfsgn,SAG,,,,Vn,N
263,отставку,максюты,отставка,максюта,Ncfsan,Npmsgy,OB,,,,Vt,N
264,поста,члена,пост,член,Ncmsgn,Ncmsgy,ATR,,,,N,N
265,члена,совета,член,совет,Ncmsgy,Ncmsgn,MB,,,,N,N
