№,Head,Gen,HeadNorm,GenNorm,HeadForm,GenForm,Rel,HeadSem,GenSem,SetRel,HeadDer,GenDer
266,партии,зюганова,партия,зюганов,Ncfsln,Npmsgy,MB,,,,N,N
267,список,кпрф,список,кпрф,Ncmsan,Ncfsgn,ATR,,,,N,N
268,пол,ребенка,половина,ребенок,Ncmsan,Ncmsgy,PAR,,,,N,N
269,возрастом,женщины,возраст,женщина,Ncmsin,Ncfsgy,PAR,,,,N,N
270,место,происшествия,место,происшествие,Ncnsan,Ncnsgn,ATR,,,,Vt,N
271,заместитель,прокурора,заместитель,прокурор,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
272,прокурора,рф,прокурор,рф,Ncmsgy,Ncfsgn,MB,,,,A,N
273,зависимость,художника,зависимость,художник,Ncfsnn,Ncmsgy,ATR,,,,Vn,Vn
274,развития,капитализма,развитие,капитализм,Ncnsgn,Ncmsgn,SPA,,,,Vn,Vn
275,роста,класса,рост,класс,Ncmsgn,Ncmsgn,SPA,,,,N,N
276,класса,буржуазии,класс,буржуазия,Ncmsgn,Ncfsgn,ATR,,,,N,N
277,глава,государства,глава,государство,Ncmsny,Ncnsgn,MB,,,,N,N
278,уровень,конкуренции,уровень,конкуренция,Ncmsan,Ncfsgn,PAR,,,,N,N
279,роль,наблюдателя,роль,наблюдатель,Ncfsnn,Ncmsgy,ATR,,,,Vt,A
280,совершенствование,эффективности,совершенствование,эффективность,Ncnsan,Ncfsgn,OB,,,,A,Vn
281,эффективности,работы,эффективность,работа,Ncfsgn,Ncfsgn,PAR,,,,Vn,N
282,работы,гэс,работа,гэс,Ncfsgn,Ncfsgn,SAG,,,,N,N
283,отдела,развития,отдел,развитие,Ncmsgn,Ncnsgn,ATR,,,,N,Vn
284,специалист,отдела,специалист,отдел,Ncmsny,Ncmsgn,MB,,,,Vt,N
285,обладатель,кубка,обладатель,кубок,Ncmsny,Ncmsgn,POS,,,,N,N
286,выборе,эмитента,выбор,эмитент,Ncmsln,Ncmsgy,OB,,,,Vt,N
287,продолжительность,периода,продолжительность,период,Ncfsan,Ncmsgn,PAR,,,,Vt,N
288,чувство,неловкости,чувство,неловкость,Ncnsnn,Ncfsgn,ATR,,,,N,N
289,достижение,короля,достижение,король,Ncnsnn,Ncmsgy,SAG,,,,N,N
290,джип,маршала,джип,маршал,Ncmsnn,Ncmsgy,POS,,,,Vt,Vt
291,удаления,полузащитника,удаление,полузащитник,Ncnsgn,Ncmsgn,OB,,,,N,N
292,правоту,решения,правота,решение,Ncfsan,Ncnsgn,PAR,,,,Vt,N
293,тренер,фк,тренер,фк,Ncmsny,Ncfsnn,OB',,,,N,N
294,регулирование,тарифов,регулирование,тариф,Ncnsnn,Ncmpgn,OB,,,,N,N
295,компетенции,властей,компетенция,власть,Ncfsdn,Ncfpgn,PAR,,,,N,N
296,моделирование,ситуации,моделирование,ситуация,Ncnsnn,Ncfsgn,OB,,,,Vt,N
297,ситуации,перехода,ситуация,переход,Ncfsgn,Ncmsgn,ATR,,,,N,N
298,методом,гипокинезии,метод,гипокинезия,Ncmsin,Ncfsgn,ATR,,,,A,Vt
299,программе,исследований,программа,исследование,Ncfsdn,Ncnpgn,ATR,,,,N,N
300,реализации,устройств,реализация,устройство,Ncfsln,Ncnpgn,OB,,,,N,N
301,целью,использования,цель,использование,Ncfsin,Ncnsgn,ATR,,,,A,Vt
302,мать,ученого,мать,ученый,Ncfsny,Ncmsgy,KIN-SOC,,,,N,N
303,нужды,человека,нужда,человек,Ncfpnn,Ncmsgy,SPA,,,,A,Vt
304,удовлетворения,потребности,удовлетворение,потребность,Ncnsgn,Ncfsgn,OB,,,,Vt,N
305,проводник,помощи,проводник,помощь,Ncmsny,Ncfsgn,OB',,,,N,N
306,измены,мужа,измена,муж,Ncfsgn,Ncmsgy,SAG,,,,Vt,N
307,почве,измены,почва,измена,Ncfsln,Ncfsgn,ATR,,,,Vt,N
308,использование,материалов,использование,материал,Ncnsan,Ncmpgn,OB,,,,Vt,N
309,нарушение,процедуры,нарушение,процедура,Ncnsnn,Ncfsgn,OB,,,,Vt,N
310,процедуры,проведения,процедура,проведение,Ncfsgn,Ncnsgn,ATR,,,,Vn,N
311,проведения,егэ,проведение,егэ,Ncnsgn,Ncmsgn,OB,,,,N,N
312,способностях,психолога,способность,психолог,Ncfpln,Ncmsgy,ATR,,,,Vt,N
313,остатки,мира,остаток,мир,Ncmpan,Ncmsgn,WH,,,,N,N
314,духе,оперы,дух,опера,Ncmsln,Ncfsgn,ATR,,,,Vt,N
315,продвижение,продукта,продвижение,продукт,Ncnsan,Ncmsgn,OB,,,,Vt,N
316,протекция,супруги,протекция,супруга,Ncfsnn,Ncfsgy,SAG,,,,Vn,N
317,супруги,главы,супруга,глава,Ncfsnn,Ncmsgy,KIN-SOC,,,,Vn,N
318,главы,государства,глава,государство,Ncmsgy,Ncnsgn,MB,,,,N,N
319,причиной,награждения,причина,награждение,Ncfsin,Ncnsgn,ATR,,,,Vt,Vn
320,награждения,михайлова,награждение,михайлов,Ncnsgn,Npmsgy,OB,,,,N,N
321,развития,образования,развитие,образование,Ncnsgn,Ncnsgn,SPA,,,,N,N
322,повышения,престижа,повышение,престиж,Ncnsgn,Ncmsgn,SPA,,,,Vn,N
323,престижа,профессии,престиж,профессия,Ncmsgn,Ncfsgn,PAR,,,,Vt,N
324,изгнанию,дьявола,изгнание,дьявол,Ncnsdn,Ncmsgy,OB,,,,Vt,N
325,вес,ведра,вес,ведро,Ncmsnn,Ncnsgn,PAR,,,,N,N
326,сайте,бизнесмена,сайт,бизнесмен,Ncmsln,Ncmsgy,POS,,,,N,N
327,манера,поведения,манер,поведение,Ncfsnn,Ncnsgn,ATR,,,,N,N
328,поведения,саркози,поведение,саркози,Ncnsgn,Npmsny,SAG,,,,Vt,Vt
329,происхождением,главы,происхождение,глава,Ncnsin,Ncmsgy,SPA,,,,N,N
330,главы,государства,глава,государство,Ncmsgy,Ncnsgn,MB,,,,Vt,N
331,типу,наблюдения,тип,наблюдение,Ncmsdn,Ncnsgn,PAR,,,,N,N
332,назначения,лечения,назначение,лечение,Ncnsgn,Ncnsgn,OB,,,,Vt,N
333,объема,информации,объем,информация,Ncmsgn,Ncfsgn,PAR,,,,Vt,N
334,коллеги,вдовца,коллега,вдовец,Nccpny,Ncmsgy,KIN-SOC,,,,Vt,N
335,графики,ремонта,графика,ремонт,Ncmpan,Ncmsgn,ATR,,,,Vt,Vt
336,ремонта,оборудования,ремонт,оборудование,Ncmsgn,Ncnsgn,OB,,,,N,N
337,перетоки,мощностей,переток,мощность,Ncfsgn,Ncfpgn,SPA,,,,Vn,Vt
338,недостатке,мощности,недостаток,мощность,Ncmsln,Ncfsgn,SPA,,,,Vn,Vt
339,способ,наказания,способ,наказание,Ncmsan,Ncnsgn,ATR,,,,Vt,N
340,наказания,человека,наказание,человек,Ncnsgn,Ncmsgy,OB,,,,Vn,N
341,постели,больного,постель,больной,Ncfsgn,Ncmsgy,POS,,,,N,N
342,эксперта,центра,эксперт,центр,Ncmsgy,Ncmsgn,MB,,,,Vn,N
343,представитель,администрации,представитель,администрация,Ncmsnny,Ncfsgn,MB,,,,N,N
344,администрации,президента,администрация,президент,Ncfsgn,Ncmsgy,ATR,,,,Vt,N
345,президента,рф,президент,рф,Ncmsgy,Npfsgn,MB,,,,N,N
346,принятия,указа,принятие,указ,Ncfsgn,Ncmsgn,OB,,,,N,N
347,недостатки,оказания,недостаток,оказание,Ncmpnn,Ncmpnn,PAR,,,,Vt,Vt
348,оказания,медпомощи,оказание,медпомощь,Ncnsgn,Ncfsgn,OB,,,,Vt,N
349,палату,терапии,палата,терапия,Ncfsan,Ncfsgn,ATR,,,,Vn,Vn
350,защиты,мозга,защита,мозг,Ncfsgn,Ncmsgn,OB,,,,N,N
351,часть,вычета,часть,вычет,Ncfsan,Ncmsgn,WH,,,,N,N
352,долю,ребенка,доля,ребенок,Ncfsan,Ncmsgy,POS,,,,N,N
353,выработку,кислоты,выработка,кислота,Ncfsan,Ncfsgn,OB,,,,Vt,Vt
354,сферу,отношений,сфера,отношение,Ncfsan,Ncnpgn,ATR,,,,N,N
355,репутацию,администратора,репутация,администратор,Ncfsan,Ncmsgy,ATR,,,,Vn,N
356,опыт,работы,опыт,работа,Ncmsan,Ncfsgn,ATR,,,,Vt,N
357,собственников,компании,собственник,компания,Ncmpgy,Ncfsgn,POS,,,,A,Vt
358,представитель,президента,представитель,президент,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
359,рейтинг,медиаактивности,рейтинг,медиаактивность,Ncmsan,Ncfsgn,ATR,,,,Vt,N
360,адвокат,летчика,адвокат,летчик,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
361,оглашения,приговора,оглашение,приговор,Ncnsgn,Ncmsgn,OB,,,,Vt,N
362,заседании,коллегии,заседание,коллегия,Ncnsln,Ncfsgn,SAG,,,,Vn,N
363,коллегии,рыболовства,коллегия,рыболовство,Ncfsgn,Ncnsgn,ATR,,,,Vt,N
364,заместитель,председателя,заместитель,председатель,Ncmsny,Ncmsgn,KIN-SOC,,,,Vt,N
365,председателя,правительства,председатель,правительство,Ncmsgy,Ncnsgn,MB,,,,Vt,N
366,проблемам,рынка,проблема,рынок,Ncfpdn,Ncnsgn,ATR,,,,N,N
367,рынка,продукции,рынок,продукция,Ncmsgn,Ncfsgn,ATR,,,,N,N
368,грех,родителей,грех,родитель,Ncmsan,Ncmpgy,SAG,,,,Vt,Vt
369,первенца,адама,первенец,адам,Ncmsgy,Npmsgy,KIN-SOC,,,,Vt,N
370,вопросам,обеспечения,вопрос,обеспечение,Ncmpdn,Ncnsgn,ATR,,,,Vt,A
371,обеспечения,безопасности,обеспечение,безопасность,Ncnsgn,Ncfsgn,OB,,,,A,Vn
372,возбудителя,колебаний,возбудитель,колебание,Ncmsgy,Ncnpgn,OB',,,,Vn,N
373,воспитанник,тренера,воспитанник,тренер,Ncmsny,Ncmsgy,OB',,,,Vt,Vn
374,арест,основателя,арест,основатель,Ncmsan,Ncmsgy,OB,,,,N,N
375,основателя,wikileaks,основатель,wikileaks,Ncmsgy,Npfsgn,OB',,,,N,N
376,изнасиловании,шведок,изнасилование,шведка,Ncnsln,Ncfpgy,OB,,,,N,N
377,коэффициент,конверсии,коэффициент,конверсия,Ncmsnn,Ncfsgn,PAR,,,,A,N
378,цена,контакта,цена,контакт,Ncfsnn,Ncmsgn,PAR,,,,A,Vn
379,стоимость,привлечения,стоимость,привлечение,Ncfsnn,Ncnsgn,PAR,,,,A,Vn
380,совладелец,sms media,совладелец,sms media,Ncmsny,Npfsgn,POS,,,,N,N
381,привлечения,клиента,привлечение,клиент,Ncfsgn,Ncmsgy,OB,,,,Vt,N
382,инициаторами,поправок,инициатор,поправка,Ncmpiy,Ncfpgn,OB',,,,N,Vt
383,участника,совета,участник,совет,Ncmsgy,Ncmsgn,MB,,,,N,N
384,профилактики,законодательства,профилактика,законодательство,Ncfsgn,Ncnsgn,OB,,,,N,Vn
385,категориям,граждан,категория,гражданин,Ncfpdn,Ncmpgy,PAR,,,,N,N
386,назначении,сенатора,назначение,сенатор,Ncnsgn,Ncmsgy,OB,,,,Vn,N
387,рассмотрение,собрания,рассмотрение,собрание,Ncnsan,Ncnsgn,SAG,,,,A,N
388,проект,бюджета,проект,бюджет,Ncnsan,Ncmsgn,ATR,,,,N,N
389,ведущего,церемонии,ведущий,церемония,Ncmsan,Ncfsgn,OB',,,,N,N
390,церемонии,бракосочетания,церемония,бракосочетание,Ncfsgn,Ncnsgn,ATR,,,,N,N
391,минуты,молчания,минута,молчание,Ncfsgn,Ncnsgn,ATR,,,,Vt,N
392,брата,убийцы,брат,убийца,Ncmsgn,Nccsgy,KIN-SOC,,,,Vn,N
393,количество,зрителей,количество,зритель,Ncnsnn,Ncmpgy,PAR,,,,A,N
394,друг,борца,друг,борец,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
395,центр,подготовки,центр,подготовка,Ncnsan,Ncfsgn,ATR,,,,Vt,Vt
396,дочери,секретаря,дочь,секретарь,Ncfsln,Ncmsgy,KIN-SOC,,,,A,N
397,секретаря,цк,секретарь,цк,Ncmsgy,Ncmsgn,MB,,,,N,N
398,типов,сделок,тип,сделка,Ncmpgn,Ncfpgn,PAR,,,,Vt,Vn
399,истории,агента,история,агент,Ncfsgn,Ncmsgy,ATR,,,,N,Vn
400,типе,учителя,тип,учитель,Ncmsgn,Ncmsgy,PAR,,,,N,Vn
401,основатель,гимназии,основатель,гимназия,Ncmsny,Ncfsgn,OB',,,,N,Vt
402,страхование,имущества,страхование,имущество,Ncnsan,Ncnsnn,OB,,,,Vt,N
403,заместитель,гендиректора,заместитель,гендиректор,Ncmsny,Ncmsgy,KIN-SOC,,,,N,N
404,помощник,прокурора,помощник,прокурор,Ncmsny,Ncmsgy,KIN-SOC,,,,N,Vn
405,методе,мошенничества,метод,мошенничество,Ncmsgn,Ncnsgn,ATR,,,,N,N
406,оказании,услуг,оказание,услуга,Ncnsnn,Ncfpgn,OB,,,,N,N
407,перепродаже,лекарств,перепродажа,лекарство,Ncfsgn,Ncnpgn,OB,,,,N,N
408,прорыве,блокады,прорыв,блокада,Ncmsln,Ncfsgn,OB,,,,Vt,N
409,блокады,ленинграда,блокада,ленинград,Ncfsgn,Npmsgn,OB,,,,Vt,Vt
410,введении,ответственности,введение,ответственность,Ncnsln,Ncfsgn,OB,,,,A,N
411,перестройки,игры,перестройка,игра,Ncfsgn,Ncfsgn,OB,,,,A,N
412,органам,власти,орган,власть,Ncmpdn,Ncgsgn,WH,,,,N,N
413,момент,введения,момент,введение,Ncmsan,Ncnsgn,ATR,,,,N,N
414,введения,системы,введение,система,Ncnsgn,Ncfsgn,OB,,,,Vt,N
415,системы,оплаты,система,оплата,Ncfsgn,Ncfsgn,ATR,,,,Vn,N
416,оплаты,труда,оплата,труд,Ncfsgn,Ncmsgn,OB,,,,N,Vn
417,руководитель,театра,руководитель,театр,Ncmsny,Ncmsgn,OB',,,,A,N
418,бразды,правления,бразда,правление,Ncfpan,Ncnsgn,ATR,,,,Vn,N
419,повышения,акциза,повышение,акциз,Ncnsgn,Ncmsgn,OB,,,,Vt,N
420,создание,атмосферы,создание,атмосфера,Ncnsan,Ncfsgn,OB,,,,A,Vn
421,изложение,пьесы,изложение,пьеса,Ncnsnn,Ncfsgn,OB,,,,Vt,N
422,ощущение,наслаждения,ощущение,наслаждение,Ncnsan,Ncnsgn,ATR,,,,N,N
423,сопротивление,земляка,сопротивление,земляк,Ncnsan,Ncmsgn,SAG,,,,A,Vn
424,переходом,россиянки,переход,россиянка,Ncmsin,Ncfsgy,SAG,,,,Vn,N
425,президента,федерации,президент,федерация,Ncmsgy,Ncfsgn,MB,,,,N,Vt
426,отбор,идей,отбор,идея,Ncmsnn,Ncfpgn,OB,,,,Vt,N
427,выделении,финансирования,выделение,финансирование,Ncnsgn,Ncnsgn,OB,,,,Vt,Vn
428,уборке,казарм,уборка,казарма,Ncfsln,Ncfpgn,OB,,,,Vt,Vn
429,часть,культуры,часть,культура,Ncfsan,Ncfsgn,WH,,,,N,Vn
430,снятия,скакуна,снятие,скакун,Ncnsgn,Ncmsgy,OB,,,,N,N
431,схему,организации,схема,организация,Ncfsan,Ncfsgn,ATR,,,,N,Vt
432,организации,работ,организация,работа,Ncfsgn,Ncfpgn,OB,,,,Vt,N
433,замещение,частей,замещение,часть,Ncnsan,Ncfpdn,OB,,,,Vt,N
434,частей,моста,часть,мост,Ncfpgn,Ncmsgn,WH,,,,Vn,Vn
435,фоторобот,преступника,фоторобот,преступник,Ncmsan,Ncmsgy,OB',,,,A,N
436,проведение,пресс-конференции,проведение,пресс-конференция,Ncnsnn,Ncfsgn,OB,,,,N,N
437,магистр,ордена,магистр,орден,Ncmsny,Ncmsgy,MB,,,,N,Vt
438,милости,императора,милость,император,Ncfsdn,Ncmsgy,SAG,,,,N,N
439,бегстве,президента,бегство,президент,Ncnsln,Ncmsgy,SAG,,,,Vt,N
440,продажа,услуг,продажа,услуга,Ncfsnn,Ncfpgn,OB,,,,N,N
441,основа,деятельности,основа,деятельность,Ncfsnn,Ncfsgn,ATR,,,,Vt,Vn
442,бабка,мальчика,бабка,мальчик,Ncfsny,Ncmsgy,KIN-SOC,,,,A,N
443,стекло,окна,стекло,окно,Ncnsan,Ncnsgn,WH,,,,Vt,N
444,просмотр,видеозаписей,просмотр,видеозапись,Ncmsan,Ncfpgn,OB,,,,N,N
445,качества,обслуживания,качество,обслуживание,Ncnsgn,Ncnsgn,PAR,,,,Vn,N
446,численность,беляка,численность,беляк,Ncfsnn,Ncmsgy,PAR,,,,N,N
447,ящике,стола,ящик,стол,Ncmsln,Ncmsgn,WH,,,,N,N
448,вручение,пеликана,вручение,пеликан,Ncnsnn,Ncmsgy,OB,,,,A,Vn
449,зале,планетария,зал,планетарий,Ncmsln,Ncmsgn,WH,,,,N,N
450,дознаватель,овд,дознаватель,овд,Ncmsny,Ncmpgn,MB,,,,N,N
451,получения,показаний,получение,показание,Ncnsgn,Ncnpgn,OB,,,,Vt,N
452,помещении,овд,помещение,овд,Ncnsln,Ncmpgn,WH,,,,Vt,N
453,старания,парикмахера,старание,парикмахер,Ncnpan,Ncmsgy,SAG,,,,N,N
454,информированию,избирателей,информирование,избиратель,Ncnsdn,Ncmpgy,OB,,,,Vn,Vn
455,разрешению,споров,разрешение,спор,Ncnsdn,Ncmpgn,OB,,,,N,N
456,представителями,партий,представитель,партия,Ncmsiy,Ncfpgn,MB,,,,N,N
457,служении,протоиерея,служение,протоиерей,Ncnsln,Ncmsgy,SAG,,,,A,N
458,представлении,начальника,представление,начальник,Ncnsln,Ncmsgy,OB,,,,Vt,N
459,вынесения,постановления,вынесение,постановление,Ncnsgn,Ncnsgn,OB,,,,N,N
460,употреблению,алкоголя,употребление,алкоголь,Ncnnsdn,Ncmsgn,OB,,,,N,N
461,бога,медицины,бог,медицина,Ncmsgy,Ncfsgn,ATR,,,,Vt,N
462,руководитель,группы,руководитель,группа,Ncmsny,Ncfsgn,OB',,,,N,N
463,заместитель,прокурора,заместитель,прокурор,Ncmsny,Ncmsgy,KIN-SOC,,,,N,Vn
464,неподчинении,окружающих,неподчинение,окружающий,Ncnsln,Ncmpgy,SAG,,,,Vt,N
465,сказочность,героя,сказочность,герой,Ncfsan,Ncmsgy,PAR,,,,A,Vt
466,деятельности,органа,деятельность,орган,Ncnsln,Ncmsgn,SAG,,,,Vt,N
467,органа,самоуправления,орган,самоуправление,Ncmsgn,Ncfsgn,ATR,,,,Vt,N
468,показателей,эффективности,показатель,эффективность,Ncmpgn,Nccfsgn,PAR,,,,N,Vt
469,эффективности,деятельности,эффективность,деятельность,Ncfsgn,Ncfsgn,PAR,,,,Vt,N
470,деятельности,руководителя,деятельность,руководитель,Ncfsgn,Ncmsgy,SAG,,,,Vn,N
471,корреспондент,"""коммерсанта""",корреспондент,коммерсант,Ncmsny,Ncmsgn,MB,,,,N,Vn
472,уровне,правительства,уровень,правительство,Ncmsgn,Ncnsgn,ATR,,,,A,N
473,поиском,инвестора,поиск,инвестор,Ncmsin,Ncmsgy,OB,,,,N,N
474,обороноспособность,государства,обороноспособность,государство,Ncnsan,Ncnsgn,PAR,,,,N,Vn
475,глубины,осмотра,глубина,осмотр,Ncfsgn,Ncmsgn,PAR,,,,N,N
476,вратарь,сборной,вратарь,сборная,Ncmsny,Ncfsgn,MB,,,,N,N
477,игру,вратаря,игра,вратарь,Ncfsan,Ncmsgy,SAG,,,,Vt,N
478,управления,роспотребнадзора,управление,роспотребнадзор,Ncnsgn,Ncmsgn,OB',,,,N,Vn
479,проверки,супермаркетов,проверка,супермаркет,Ncfpan,Ncmpgn,OB,,,,N,N
480,содержании,йода,содержание,йод,Ncnsgn,Ncmsgn,PAR,,,,N,N
481,подвиг,земляка,подвиг,земляк,Ncmsan,Ncmsgy,SAG,,,,Vt,N
482,награждению,победителей,награждение,победитель,Ncnsdn,Ncmpgy,OB,,,,N,N
483,агент,радулова,агент,радулов,Ncmsny,Npmsgy,KIN-SOC,,,,N,N
484,соперник,армейцев,соперник,армеец,Ncmsny,Ncmpgy,KIN-SOC,,,,N,N
485,командир,"""зубра""",командир,зубр,Ncmsny,Ncmsgn,MB,,,,N,N
486,преимуществах,омона,преимущество,омон,Ncnpln,Ncmsgn,PAR,,,,N,N
487,нанимателем,помещения,наниматель,помещение,Ncmsiy,Ncnsgn,OB',,,,Vt,N
488,наймодателем,помещения,наймодатель,помещение,Ncmsiy,Ncnsgn,OB',,,,Vt,N
489,модернизации,гтс,модернизация,гтс,Ncfsln,Ncfsgn,OB,,,,Vn,N
490,сопредседателя,партии,сопредседатель,партия,Ncmsgy,Ncfsgn,MB,,,,N,N
491,структуру,управления,структура,управление,Ncfsan,Ncnsgn,PAR,,,,N,N
492,самоконтроле,режиссеров,самоконтроль,режиссер,Ncmsln,Ncmpgy,SAG,,,,Vn,Vn
493,председателя,кгб,председатель,кгб,Ncmsgy,Ncmsgn,MB,,,,Vn,N
494,врач,певца,врач,певец,Ncmsny,Ncmsgy,OB',,,,N,N
495,внучка,хана,внучка,хан,Ncfsny,Npmsgy,KIN-SOC,,,,Vt,N
496,использование,силы,использование,сила,Ncnsan,Ncfsgn,OB,,,,Vt,N
497,открытость,работы,открытость,работа,Ncfsgn,Ncfsgn,PAR,,,,Vt,N
498,реализацию,проекта,реализация,проект,Ncfsan,Ncmsgn,OB,,,,A,N
499,костюме,снегурочки,костюм,снегурочка,Ncmsln,Npfsgy,ATR,,,,Vt,N
500,правоту,стороны,правота,сторона,Ncfsan,Ncfsgn,PAR,,,,N,N
501,стоимость,путевки,стоимость,путевка,Ncfsnn,Ncfsgn,PAR,,,,Vn,N
502,неисполнение,условий,неисполнение,условие,Ncnsan,Ncnpgn,OB,,,,Vn,N
503,проведения,визита,проведение,визит,Ncnsgn,Ncmsgn,OB,,,,N,N
504,куплей-продажей,земли,купля-продажа,земля,Ncfsin,Ncfsgn,OB,,,,A,N
505,передаче,части,передача,часть,Ncfsgn,Ncfsgn,OB,,,,Vt,N
506,части,построек,часть,постройка,Ncfsgn,Ncfpgn,WH,,,,Vt,N
507,построек,ответчика,постройка,ответчик,Ncfpgn,Ncmsgy,POS,,,,A,N
508,холле,травмпункта,холл,травмпункт,Ncmsln,Ncmsgn,WH,,,,N,N
509,проведения,сделок,проведение,сделка,Ncnsgn,Ncfpgn,OB,,,,N,N
510,лидер,меньшинства,лидер,меньшинство,Ncmsny,Ncnsgn,MB,,,,N,Vn
511,решение,проблем,решение,проблема,Ncnsan,Ncfpgn,OB,,,,N,N
512,размеры,пособий,размер,пособие,Ncmpnn,Ncnpgn,PAR,,,,Vt,N
513,принятии,сотрудника,принятие,сотрудник,Ncnsgn,Ncmsgy,OB,,,,N,Vn
514,сроком,реализации,срок,реализация,Ncmsin,Ncfsgn,PAR,,,,N,N
515,хозяина,столовой,хозяин,столовая,Ncmsgy,Ncfsgn,POS,,,,N,N
516,сцене,центра,сцена,центр,Ncfsln,Ncmsgn,WH,,,,A,N
517,поимки,преступника,поимка,преступник,Ncfsgn,Ncmsgy,OB,,,,N,N
518,кидании,гранат,кидание,гранат,Ncnsln,Ncfpgn,OB,,,,N,N
519,восприятие,пациента,восприятие,пациент,Ncnsan,Ncmsgy,PAR,,,,A,N
520,характер,недуга,характер,недуг,Ncmsan,Ncmsgy,PAR,,,,N,N
521,преемник,зоолога,преемник,зоолог,Ncmsny,Ncmsgy,KIN-SOC,,,,Vt,N
522,основатель,науки,основатель,наука,Ncmsny,Ncfsgy,OB',,,,Vt,Vn
523,выступление,лыжников,выступление,лыжник,Ncnsnn,Ncmpgy,SAG,,,,N,N
524,министра,спорта,министр,спорт,Ncmsgy,Ncmsgn,ATR,,,,N,Vn
525,сестра,человека,сестра,человек,Ncfsny,Ncmsgy,KIN-SOC,,,,N,Vn
526,телом,души,тело,душа,Ncfsin,Ncmsgy,PAR,,,,N,A
